date,eventType,currentBlock,currentStage,StageNumber,materialLeft,materialRight,itemSide,itemChosen,Timestamp(H:M:S:MS),randomSeed,blocksTrials,distributionProducts
2025-08-01,Begin,C1,DD,1,D6,D2,None,None,14:39:53:531,272,"[0,1,1,0,0,1,0,1,1,0]","[1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0]"
2025-08-01,Grabbing,C1,DD,1,D6,D2,Right,D6,14:39:54:418,272,"[0,1,1,0,0,1,0,1,1,0]","[1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0]"
2025-08-01,Begin,C1,DD,2,D4,D7,None,None,14:39:59:514,272
2025-08-01,Grabbing,C1,DD,2,D4,D7,Right,D7,14:40:01:750,272
2025-08-01,Begin,C1,DD,3,D5,D9,None,None,14:40:05:514,272
2025-08-01,Grabbing,C1,DD,3,D5,D9,Right,D9,14:40:07:957,272
2025-08-01,Begin,C1,DD,4,D7,D6,None,None,14:40:11:514,272
2025-08-01,Grabbing,C1,DD,4,D7,D6,Right,D6,14:40:11:818,272
2025-08-01,Begin,C1,DD,5,D4,D8,None,None,14:40:17:517,272
2025-08-01,Grabbing,C1,DD,5,D4,D8,Right,D4,14:40:20:046,272
2025-08-01,Begin,C1,DD,6,D4,D1,None,None,14:40:23:518,272
2025-08-01,Grabbing,C1,DD,6,D4,D1,Right,D4,14:40:23:878,272
2025-08-01,Begin,C1,STP-D,7,D3,Target,None,None,14:40:29:521,272
2025-08-01,Grabbing,C1,STP-D,7,D3,Target,Right,Target,14:40:31:196,272
2025-08-01,Begin,C1,DD,8,D3,D1,None,None,14:40:35:523,272
2025-08-01,Grabbing,C1,DD,8,D3,D1,Right,D3,14:40:36:863,272
2025-08-01,Begin,C1,STP-D,9,D7,Target,None,None,14:40:41:527,272
2025-08-01,Grabbing,C1,STP-D,9,D7,Target,Right,D7,14:40:42:302,272
2025-08-01,Begin,C1,STP-D,10,D8,Target,None,None,14:40:47:530,272
2025-08-01,Grabbing,C1,STP-D,10,D8,Target,Right,D8,14:40:48:219,272
2025-08-01,Begin,C1,STP-D,11,Target,D6,None,None,14:40:53:536,272
2025-08-01,BREAK,C1,STP-D,11,Target,D6,BREAK,BREAK,14:40:53:538,272
2025-08-01,Begin,C2,STP-D,11,Target,D6,None,None,14:41:00:284,272
2025-08-01,Grabbing,C2,STP-D,11,Target,D6,Right,Target,14:41:01:753,272
